titulo,autor,interprete,tom,letra,cifra,link_referencia,observacao
180 GRAUS,Ministério Missionário Shalom,Ministério Missionário Shalom,"",https://www.cifraclub.com.br/missionario-shalom/180-graus/,https://www.cifraclub.com.br/missionario-shalom/180-graus/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+180+Graus,Pós-comunhão / oração / ação de graças
A BÍBLIA É A PALAVRA DE DEUS,"","","","","","",Entrada / Palavra de Deus
A BÍBLIA É COMUNICAÇÃO,Músicas Católicas,Músicas Católicas,Cm,https://www.cifraclub.com.br/catolicas/a-biblia-comunicacao/,https://www.cifraclub.com.br/catolicas/a-biblia-comunicacao/,https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+B%C3%8DBLIA+%C3%89+COMUNICA%C3%87%C3%83O,Canto final / missão e anúncio da Palavra
A CHAVE DO CORAÇÃO,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/a-chave-do-coracao/,https://www.cifraclub.com.br/adriana/a-chave-do-coracao/,https://www.youtube.com/results?search_query=Adriana+Arydes+A+Chave+do+Coração,Pós-comunhão / oração / ação de graças
A CRUZ SAGRADA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada/,https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada/,https://www.youtube.com/results?search_query=Canção+Nova+A+Cruz+Sagrada,Pós-comunhão / oração / ação de graças
A CRUZ SAGRADA SEJA A MINHA LUZ,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada-seja-a-minha-luz/,https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada-seja-a-minha-luz/,https://www.youtube.com/results?search_query=Canção+Nova+A+Cruz+Sagrada+Seja+a+Minha+Luz,Pós-comunhão / oração / ação de graças
A ELE A GLÓRIA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/a-ele-a-gloria/,https://www.cifraclub.com.br/cancao-nova/a-ele-a-gloria/,https://www.youtube.com/results?search_query=Canção+Nova+A+Ele+a+Glória,Pós-comunhão / oração / ação de graças
A FORÇA DA EUCARISTIA,Ir. Míria T. Kolling,Ir. Míria T. Kolling,"","","",https://www.youtube.com/watch?v=czSDh21BdEQ,Comunhão / força da Eucaristia
A MESA SANTA,Almir Dos Reis,CNBB,B,https://www.cifraclub.com.br/cnbb/a-mesa-santa/,https://www.cifraclub.com.br/cnbb/a-mesa-santa/,"","Apresentação das oferendas / Pão, vinho, trabalho e vida"
A MISSA TERMINOU,Pe. José Fernandes,Músicas Católicas,A,https://www.cifraclub.com.br/catolicas/a-missa-terminou/,https://www.cifraclub.com.br/catolicas/a-missa-terminou/,https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+MISSA+TERMINOU,Canto final / envio missionário; a celebração termina e começa a missão
A MORTE JÁ NÃO MATA MAIS,Waldeci Farias,Waldeci Farias,"","","","",Apresentação das oferendas / Todos os Santos
