Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
180 GRAUS;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/180-graus/;https://www.cifraclub.com.br/missionario-shalom/180-graus/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+180+Graus;Pós-comunhão / oração / ação de graças;Sim
A BÍBLIA É A PALAVRA DE DEUS;;;;ENTRADA;Entrada;;;;Entrada / Palavra de Deus;Sim
A BÍBLIA É COMUNICAÇÃO;Músicas Católicas;Músicas Católicas;Cm;FINAL;Final;https://www.cifraclub.com.br/catolicas/a-biblia-comunicacao/;https://www.cifraclub.com.br/catolicas/a-biblia-comunicacao/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+B%C3%8DBLIA+%C3%89+COMUNICA%C3%87%C3%83O;Canto final / missão e anúncio da Palavra;Sim
A CHAVE DO CORAÇÃO;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/a-chave-do-coracao/;https://www.cifraclub.com.br/adriana/a-chave-do-coracao/;https://www.youtube.com/results?search_query=Adriana+Arydes+A+Chave+do+Coração;Pós-comunhão / oração / ação de graças;Sim
A CRUZ SAGRADA;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada/;https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada/;https://www.youtube.com/results?search_query=Canção+Nova+A+Cruz+Sagrada;Pós-comunhão / oração / ação de graças;Sim
A CRUZ SAGRADA SEJA A MINHA LUZ;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada-seja-a-minha-luz/;https://www.cifraclub.com.br/cancao-nova/a-cruz-sagrada-seja-a-minha-luz/;https://www.youtube.com/results?search_query=Canção+Nova+A+Cruz+Sagrada+Seja+a+Minha+Luz;Pós-comunhão / oração / ação de graças;Sim
A ELE A GLÓRIA;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/a-ele-a-gloria/;https://www.cifraclub.com.br/cancao-nova/a-ele-a-gloria/;https://www.youtube.com/results?search_query=Canção+Nova+A+Ele+a+Glória;Pós-comunhão / oração / ação de graças;Sim
A FORÇA DA EUCARISTIA;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=czSDh21BdEQ;Comunhão / força da Eucaristia;Sim
A MESA SANTA;Almir Dos Reis;CNBB;B;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/a-mesa-santa/;https://www.cifraclub.com.br/cnbb/a-mesa-santa/;;Apresentação das oferendas / Pão, vinho, trabalho e vida;Sim
A MISSA TERMINOU;Pe. José Fernandes;Músicas Católicas;A;FINAL;Final;https://www.cifraclub.com.br/catolicas/a-missa-terminou/;https://www.cifraclub.com.br/catolicas/a-missa-terminou/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+MISSA+TERMINOU;"Canto final / envio missionário; a celebração termina e começa a missão";Sim
A MORTE JÁ NÃO MATA MAIS;Waldeci Farias;Waldeci Farias;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Todos os Santos;Sim
A NÓS DESCEI, DIVINA LUZ;Reginaldo Veloso;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=UcAo7Nzf-mg;Pentecostes / invocação ao Espírito Santo;Sim
