Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
A BÍBLIA É A PALAVRA DE DEUS;Paulo Roberto ;Oaulo Roberto;;ENTRADA;Entrada;https://www.letras.mus.br/paulo-roberto/876291/;https://www.letras.mus.br/paulo-roberto/876291/;;Entrada / Palavra de Deus;Sim
A FORÇA DA EUCARISTIA;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/irma-miria-t-kolling/a-forca-da-eucaristia/;https://www.cifraclub.com.br/irma-miria-t-kolling/a-forca-da-eucaristia/;https://www.youtube.com/watch?v=czSDh21BdEQ;Comunhão / força da Eucaristia;Sim
A MORTE JÁ NÃO MATA MAIS;Waldeci Farias;Waldeci Farias;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/waldeci-farias/1759710/letra/;https://www.cifraclub.com.br/waldeci-farias/1759710/letra/;;Apresentação das oferendas / Todos os Santos;Sim
A NÓS DESCEI, DIVINA LUZ;Reginaldo Veloso;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/a-nos-descei-divina-luz/;https://www.cifraclub.com.br/catolicas/a-nos-descei-divina-luz/;https://www.youtube.com/watch?v=UcAo7Nzf-mg;Pentecostes / invocação ao Espírito Santo;Sim
A OVELHA SOU EU;Toca de Assis;Toca de Assis;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/toca-de-assis/a-ovelha-sou-eu/;https://www.cifraclub.com.br/toca-de-assis/a-ovelha-sou-eu/;;Reconciliação / ato penitencial;Sim
A PALAVRA DE DEUS NOS CONVIDA;;;;ENTRADA;Entrada;https://www.cifraclub.com.br/andreia-zanardi-e-renato-palao/a-palavra-de-deus-nos-convida/;https://www.cifraclub.com.br/andreia-zanardi-e-renato-palao/a-palavra-de-deus-nos-convida/;;Entrada / Palavra de Deus;Sim
A TERRA AMIGA;"Frei José Moacyr Cadenassi, OFMCap; música: Frei José Luiz Prim, OFM";Frei José Luiz Prim, OFM;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Celebrações marianas;Sim
A TERRA APAVORADA EMUDECEU;Frei Joel Postma, OFM;Frei Joel Postma, OFM;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/a-terra-apavorada-emudeceu-/;https://www.cifraclub.com.br/cnbb/a-terra-apavorada-emudeceu-/;;Comunhão / Ascensão do Senhor;Sim
A TREZE DE MAIO;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/a-treze-de-maio/;https://www.cifraclub.com.br/catolicas/a-treze-de-maio/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+TREZE+DE+MAIO;Mariana / Nossa Senhora de Fátima;Sim
A VIDA DOS JUSTOS;"Graduale Romanum; Liturgia das Horas; música: Fr. Joel Postma, OFM";Fr. Joel Postma, OFM;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Todos os Santos / Fiéis Defuntos;Sim
ACEITA, SENHOR, COM PRAZER;"Reginaldo Veloso; música: Daniel De Angeles";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/aceita-senhor/;https://www.cifraclub.com.br/cnbb/aceita-senhor/;;Apresentação das oferendas / Quaresma;Sim
ADORAR-TE, SENHOR;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/adorar-te-senhor/;https://www.cifraclub.com.br/comunidade-catolica-shalom/adorar-te-senhor/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+ADORAR-TE%2C+SENHOR;Adoração / louvor;Sim
ALEGRES VAMOS À CASA DO PAI;;;;ENTRADA;Entrada;https://www.cifraclub.com.br/cnbb/alegres-vamos-casa-do-pai/;https://www.cifraclub.com.br/cnbb/alegres-vamos-casa-do-pai/;;Entrada / reunião da assembleia;Sim
ALELUIA, EU SOU O PÃO DA VIDA;Pe. José Weber, SVD;Pe. José Weber, SVD;;ACLAMACAO;Aclamação ao Evangelho;;;;"Aclamação ao Evangelho / Corpus Christi; referência no Hinário Litúrgico da CNBB";Sim
ALELUIA, EU SOU O PÃO VIVO;Ir. Janete Stürmer;Ir. Janete Stürmer;;ACLAMACAO;Aclamação ao Evangelho;https://www.cifraclub.com.br/ministerio-alfa-e-omega/aleluia-eu-sou-o-pao-vivo/;https://www.cifraclub.com.br/ministerio-alfa-e-omega/aleluia-eu-sou-o-pao-vivo/;https://www.youtube.com/watch?v=WWsl5DciSLs;Aclamação ao Evangelho / Corpus Christi;Sim
ALELUIA, EU TE LOUVO, Ó PAI SANTO;Reginaldo Veloso;Reginaldo Veloso;;ACLAMACAO;Aclamação ao Evangelho;https://www.cifraclub.com.br/cnbb/aleluia-eu-te-louvo-o-pai-santo/;https://www.cifraclub.com.br/cnbb/aleluia-eu-te-louvo-o-pai-santo/;;Aclamação ao Evangelho / Comemoração dos Fiéis Defuntos;Sim
ALELUIA, GLÓRIA AO PAI;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;ACLAMACAO;Aclamação ao Evangelho;https://www.cifraclub.com.br/irma-miria-t-kolling/aleluia-gloria-ao-pai/;https://www.cifraclub.com.br/irma-miria-t-kolling/aleluia-gloria-ao-pai/;;Aclamação ao Evangelho / Santíssima Trindade;Sim
ALELUIA, MARIA É ELEVADA;"Valdeci Farias; José Acácio Santana";CNBB / Música Litúrgica;;ACLAMACAO;Aclamação ao Evangelho;https://www.cifraclub.com.br/lecionario-cnbb/aleluia-maria-e-elevada-aos-ceus/;https://www.cifraclub.com.br/lecionario-cnbb/aleluia-maria-e-elevada-aos-ceus/;;Aclamação ao Evangelho / Assunção de Nossa Senhora;Sim
